postcode,dwelling,rent_2016,rent_2021,rent_change_abs,rent_change_pct,income_2016,income_2021,afford_2016,afford_2021,afford_change,bonds_2016,bonds_2021,thin_data,locality,region,lat,long
4380,Flat 2,230.0,215.0,-15.0,-6.5,919,1035,25.0,20.8,-4.2,9,11,Y,AMIENS,Darling Downs - Maranoa,-28.60158006,151.8126377
4390,Flat 2,195.0,235.0,40.0,20.5,1399,1641,13.9,14.3,0.4,20,30,N,BILLA BILLA,Darling Downs - Maranoa,-28.228906,150.321016
4401,Flat 2,210.0,220.0,10.0,4.8,1159,1291,18.1,17.0,-1.1,10,10,N,ACLAND,Darling Downs - Maranoa,-27.473135,151.703647
4405,Flat 2,180.0,255.0,75.0,41.7,1301,1447,13.8,17.6,3.8,39,26,N,BEELBEE,Wide Bay,-27.192428,151.396625
4413,Flat 2,170.0,245.0,75.0,44.1,1338,1560,12.7,15.7,3.0,15,16,N,AUBURN,Darling Downs - Maranoa,-26.706834,150.545144
4415,Flat 2,150.0,190.0,40.0,26.7,1116,1252,13.4,15.2,1.8,7,6,Y,BOORTKOI,Darling Downs - Maranoa,-26.627339,150.205114
4500,Flat 2,292.0,317.0,25.0,8.6,1683,1947,17.3,16.3,-1.0,28,18,N,BRAY PARK,Moreton Bay - South,-27.307845,152.939438
4501,Flat 2,277.0,310.0,33.0,11.9,1190,1371,23.3,22.6,-0.7,12,11,N,LAWNTON,Moreton Bay - South,-27.277628,152.946201
4503,Flat 2,285.0,310.0,25.0,8.8,1478,1705,19.3,18.2,-1.1,62,40,N,DAKABIN,Moreton Bay - South,-27.240638,152.993187
4505,Flat 2,270.0,310.0,40.0,14.8,1435,1753,18.8,17.7,-1.1,17,11,N,BURPENGARY,Moreton Bay - North,-27.153669,152.976886
4506,Flat 2,280.0,300.0,20.0,7.1,1328,1449,21.1,20.7,-0.4,24,36,N,MOORINA,Moreton Bay - North,-27.128401,152.936289
4507,Flat 2,297.0,306.0,9.0,3.0,860,961,34.5,31.8,-2.7,34,49,N,BANKSIA BEACH,Moreton Bay - North,-26.987776,153.12414
4508,Flat 2,258.0,340.0,82.0,31.8,1111,1270,23.2,26.8,3.6,16,21,N,DECEPTION BAY,Moreton Bay - North,-27.181203,153.013716
4509,Flat 2,365.0,370.0,5.0,1.4,1840,2113,19.8,17.5,-2.3,53,29,N,MANGO HILL,Moreton Bay - South,-27.232691,153.017319
4510,Flat 2,260.0,290.0,30.0,11.5,1114,1318,23.3,22.0,-1.3,100,57,N,BALINGOOL,Moreton Bay - North,-27.070177,152.960273
4551,Flat 2,340.0,450.0,110.0,32.4,1201,1489,28.3,30.2,1.9,155,99,N,AROONA,Sunshine Coast,-26.828067,153.088435
4552,Flat 2,310.0,367.0,57.0,18.4,1022,1259,30.3,29.2,-1.1,5,6,Y,BALD KNOB,Sunshine Coast,-26.734305,152.766898
